Ontology ID,Replacement Term,Obsolete
ID,AI http://purl.obolibrary.org/obo/IAO_0100001,AT owl:deprecated^^xsd:boolean
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000157,http://purl.obolibrary.org/obo/ZECO_0000157,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000158,http://purl.obolibrary.org/obo/ZECO_0000158,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000159,http://purl.obolibrary.org/obo/ZECO_0000159,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000160,http://purl.obolibrary.org/obo/ZECO_0000160,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000161,http://purl.obolibrary.org/obo/ZECO_0000161,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000162,http://purl.obolibrary.org/obo/ZECO_0000162,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000163,http://purl.obolibrary.org/obo/ZECO_0000163,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000164,http://purl.obolibrary.org/obo/ZECO_0000164,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000165,http://purl.obolibrary.org/obo/ZECO_0000165,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000166,http://purl.obolibrary.org/obo/ZECO_0000166,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000168,http://purl.obolibrary.org/obo/ZECO_0000168,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000169,http://purl.obolibrary.org/obo/ZECO_0000169,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000170,http://purl.obolibrary.org/obo/ZECO_0000170,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000171,http://purl.obolibrary.org/obo/ZECO_0000171,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000172,http://purl.obolibrary.org/obo/ZECO_0000172,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000173,http://purl.obolibrary.org/obo/ZECO_0000173,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000174,http://purl.obolibrary.org/obo/ZECO_0000174,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000176,http://purl.obolibrary.org/obo/ZECO_0000176,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000177,http://purl.obolibrary.org/obo/ZECO_0000177,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000178,http://purl.obolibrary.org/obo/ZECO_0000178,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000179,http://purl.obolibrary.org/obo/ZECO_0000179,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000180,http://purl.obolibrary.org/obo/ZECO_0000180,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000181,http://purl.obolibrary.org/obo/ZECO_0000181,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000182,http://purl.obolibrary.org/obo/ZECO_0000182,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000183,http://purl.obolibrary.org/obo/ZECO_0000183,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000184,http://purl.obolibrary.org/obo/ZECO_0000184,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000185,http://purl.obolibrary.org/obo/ZECO_0000185,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000186,http://purl.obolibrary.org/obo/ZECO_0000186,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000187,http://purl.obolibrary.org/obo/ZECO_0000187,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000188,http://purl.obolibrary.org/obo/ZECO_0000188,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000189,http://purl.obolibrary.org/obo/ZECO_0000189,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000190,http://purl.obolibrary.org/obo/ZECO_0000190,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000191,http://purl.obolibrary.org/obo/ZECO_0000191,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000192,http://purl.obolibrary.org/obo/ZECO_0000192,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000193,http://purl.obolibrary.org/obo/ZECO_0000193,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000194,http://purl.obolibrary.org/obo/ZECO_0000194,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000195,http://purl.obolibrary.org/obo/ZECO_0000195,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000196,http://purl.obolibrary.org/obo/ZECO_0000196,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000197,http://purl.obolibrary.org/obo/ZECO_0000197,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000198,http://purl.obolibrary.org/obo/ZECO_0000198,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000199,http://purl.obolibrary.org/obo/ZECO_0000199,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000200,http://purl.obolibrary.org/obo/ZECO_0000200,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000201,http://purl.obolibrary.org/obo/ZECO_0000201,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000202,http://purl.obolibrary.org/obo/ZECO_0000202,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000203,http://purl.obolibrary.org/obo/ZECO_0000203,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000204,http://purl.obolibrary.org/obo/ZECO_0000204,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000205,http://purl.obolibrary.org/obo/ZECO_0000205,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000206,http://purl.obolibrary.org/obo/ZECO_0000206,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000207,http://purl.obolibrary.org/obo/ZECO_0000207,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000208,http://purl.obolibrary.org/obo/ZECO_0000208,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000209,http://purl.obolibrary.org/obo/ZECO_0000209,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000210,http://purl.obolibrary.org/obo/ZECO_0000210,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000211,http://purl.obolibrary.org/obo/ZECO_0000211,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000212,http://purl.obolibrary.org/obo/ZECO_0000212,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000213,http://purl.obolibrary.org/obo/ZECO_0000213,1
